name,region,indicator,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
Afghanistan,South Asia,LAND,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860
Albania,Europe & Central Asia,LAND,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400
Algeria,Middle East & North Africa,LAND,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740
American Samoa,East Asia & Pacific,LAND,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Andorra,Europe & Central Asia,LAND,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470
Angola,Sub-Saharan Africa,LAND,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700
Antigua and Barbuda,Latin America & Caribbean,LAND,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440
Argentina,Latin America & Caribbean,LAND,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690
Armenia,Europe & Central Asia,LAND,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470
Aruba,Latin America & Caribbean,LAND,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
Australia,East Asia & Pacific,LAND,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300
Austria,Europe & Central Asia,LAND,82580,82580,82580,82580,82580,82580,82578,82578,82571,82561,82554,82540,82531,82531,82531
Azerbaijan,Europe & Central Asia,LAND,82604,82618,82652,82672,82660,82637,82629,82627,82622,82656,82658,82658,82659,82659,82659
"Bahamas, The",Latin America & Caribbean,LAND,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010
Bahrain,Middle East & North Africa,LAND,710,710,720,730,740,740,750,760,760,762,767,770,770,770,770
Bangladesh,South Asia,LAND,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170
Barbados,Latin America & Caribbean,LAND,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
