name,region,indicator,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
American Samoa,East Asia & Pacific,MOR,,,,,,,,,,,,,,,
Australia,East Asia & Pacific,MOR,6.1,6,6,5.9,5.7,5.6,5.4,5.2,5,4.8,4.5,4.3,4.1,3.9,3.8
Brunei Darussalam,East Asia & Pacific,MOR,9.3,9.2,9.1,9.1,9,9,9,9,9.1,9.3,9.5,9.7,9.9,10.1,10.2
China,East Asia & Pacific,MOR,34.3,31.6,28.9,26.3,24,21.9,20.1,18.5,17,15.7,14.5,13.4,12.3,11.4,10.7
Fiji,East Asia & Pacific,MOR,24.2,23.9,23.7,23.7,23.7,23.8,23.9,24,24,23.9,23.7,23.5,23.2,22.9,22.4
"Micronesia, Fed. Sts.",East Asia & Pacific,MOR,52.8,51.6,50.2,48.8,47.4,45.9,44.6,43.1,42,40.7,39.4,38.2,37,35.8,34.7
Guam,East Asia & Pacific,MOR,,,,,,,,,,,,,,,
"Hong Kong SAR, China",East Asia & Pacific,MOR,,,,,,,,,,,,,,,
Indonesia,East Asia & Pacific,MOR,49.8,47.6,45.4,49.3,41.4,39.6,37.9,36.2,34.7,33.1,31.7,30.4,29.3,28.2,27.2
Japan,East Asia & Pacific,MOR,4.3,4.1,4,3.9,3.7,3.6,3.5,3.4,3.3,3.2,3.4,3,2.9,2.8,2.7
Cambodia,East Asia & Pacific,MOR,98.7,88.3,78.8,71.3,65.4,60.4,55.8,51.5,47.3,43.1,39.3,35.8,32.9,30.6,28.7
Kiribati,East Asia & Pacific,MOR,68.5,66.9,65.7,65.1,64.8,64.8,64.8,64.5,63.9,62.9,61.7,60.4,58.9,57.4,55.9
"Korea, Rep.",East Asia & Pacific,MOR,6.4,6.5,6.4,6,5.6,5.2,4.8,4.5,4.3,4.1,4,3.8,3.7,3.6,3.4
Lao PDR,East Asia & Pacific,MOR,113.4,109.2,105.1,101.1,97.2,93.5,89.8,86.2,82.8,79.7,76.7,74,71.3,69.1,66.7
"Macao SAR, China",East Asia & Pacific,MOR,,,,,,,,,,,,,,,
Marshall Islands,East Asia & Pacific,MOR,41.3,41.1,40.7,40.4,40.2,39.9,39.7,39.5,39.3,39.1,38.8,38.3,37.8,37,36
Myanmar,East Asia & Pacific,MOR,79.9,77.5,75.2,72.8,70.5,68.1,65.8,87.2,61.4,59.3,57.2,55.3,53.5,51.7,50
Mongolia,East Asia & Pacific,MOR,58.4,54.3,50.4,46.8,43.4,40.3,37.4,34.8,32.3,30,28,26.2,24.7,23.5,22.4
Northern Mariana Islands,East Asia & Pacific,MOR,,,,,,,,,,,,,,,
Malaysia,East Asia & Pacific,MOR,9.4,8.9,8.5,8.3,8.2,8.1,8,8,8,8,7.9,7.7,7.5,7.2,7
New Caledonia,East Asia & Pacific,MOR,,,,,,,,,,,,,,,
Nauru,East Asia & Pacific,MOR,40.3,39.5,39,38.8,38.7,39,39.3,39.7,39.7,39.4,38.8,38.1,37.2,36.3,35.4
New Zealand,East Asia & Pacific,MOR,7.2,7,6.9,6.7,6.6,6.5,6.4,6.4,6.3,6.2,6.1,6,5.9,5.8,5.7
Philippines,East Asia & Pacific,MOR,38.9,38.1,37.3,36.5,35.7,34.9,34.2,33.4,32.6,31.9,31.2,30.4,29.6,28.8,28
