"state","region","year","public","hwy","water","other","private","gsp","emp","unemp"
1,6,1970,15032.669921875,8.89915752410889,7.41196727752686,8.70801162719727,10.4855298995972,10.2547779083252,6.91820049285889,4.69999980926514
1,6,1971,15501.9404296875,8.92611122131348,7.45067262649536,8.74113368988037,10.5267457962036,10.287899017334,6.92941904067993,5.19999980926514
1,6,1972,15972.41015625,8.95743560791016,7.47576427459717,8.7706298828125,10.5628271102905,10.351469039917,6.97756099700928,4.69999980926514
1,6,1973,16406.259765625,8.97558689117432,7.46302461624146,8.81821441650391,10.5987329483032,10.4172086715698,7.03482818603516,3.90000009536743
1,6,1974,16762.669921875,8.99038219451904,7.4586763381958,8.8539924621582,10.6467885971069,10.4267063140869,7.06458806991577,5.5
1,6,1975,17316.259765625,9.00678253173828,7.46866750717163,8.91001319885254,10.6913013458252,10.4224004745483,7.05220174789429,7.69999980926514
1,6,1976,17732.859375,9.01532173156738,7.49539756774902,8.94961547851562,10.8241996765137,10.4846973419189,7.09589338302612,6.80000019073486
1,6,1977,18111.9296875,9.03189182281494,7.52029418945312,8.97476387023926,10.8412456512451,10.5311088562012,7.14614200592041,7.40000009536743
1,6,1978,18479.740234375,9.049072265625,7.58095979690552,8.9882698059082,10.870548248291,10.5957345962524,7.19780969619751,6.30000019073486
1,6,1979,18881.490234375,9.06422805786133,7.64104080200195,9.00687313079834,10.9064302444458,10.6208152770996,7.21670961380005,7.09999990463257
1,6,1980,19012.33984375,9.06687450408936,7.66786909103394,9.01314830780029,10.9435729980469,10.60608959198,7.21236801147461,8.80000019073486
1,6,1981,19118.51953125,9.06286430358887,7.70477151870728,9.02048492431641,10.9416761398315,10.6238851547241,7.20608043670654,11
1,6,1982,19118.25,9.06475257873535,7.70338678359985,9.01884841918945,10.9685726165771,10.6048011779785,7.17968893051147,14
1,6,1983,19122,9.06096649169922,7.71016502380371,9.02143287658691,10.9834938049316,10.6512413024902,7.1920313835144,14
1,6,1984,19257.470703125,9.06600093841553,7.7120680809021,9.03197574615479,10.9928379058838,10.7170362472534,7.23540306091309,11
1,6,1985,19433.359375,9.07409000396729,7.72003126144409,9.04240608215332,11.0135021209717,10.7546854019165,7.26339960098267,8.89999961853027
1,6,1986,19723.369140625,9.08401012420654,7.74456548690796,9.05965042114258,11.0288858413696,10.7874412536621,7.28844928741455,9.80000019073486
2,8,1970,10148.419921875,8.42437839508057,7.39502763748169,8.28494548797607,10.0684080123901,9.86723804473877,6.30518007278442,4.40000009536743
2,8,1971,10560.5400390625,8.45573711395264,7.39470195770264,8.35024833679199,10.1236190795898,9.95418071746826,6.36543893814087,4.69999980926514
2,8,1972,10977.5302734375,8.48628807067871,7.38683032989502,8.41518497467041,10.1681051254272,10.055736541748,6.47126388549805,4.19999980926514
2,8,1973,11598.259765625,8.50985813140869,7.40724468231201,8.51457405090332,10.2148122787476,10.1363439559937,6.57158279418945,4.09999990463257
2,8,1974,12129.0595703125,8.53136825561523,7.42535781860352,8.59038639068604,10.2691526412964,10.1541681289673,6.6147255897522,5.59999990463257
2,8,1975,12929.0595703125,8.54935264587402,7.47583246231079,8.6996431350708,10.3170299530029,10.1232252120972,6.59181070327759,12
2,8,1976,13603.8896484375,8.56594944000244,7.55508375167847,8.77084732055664,10.2882108688354,10.1674270629883,6.6316065788269,9.80000019073486
2,8,1977,14175.419921875,8.58642959594727,7.58755397796631,8.8310546875,10.3113698959351,10.2438802719116,6.69616985321045,8.19999980926514
2,8,1978,14812.0400390625,8.60703372955322,7.61987161636353,8.89614009857178,10.3462324142456,10.3437404632568,6.79727077484131,6.09999990463257
2,8,1979,15547.6201171875,8.63107872009277,7.66504573822021,8.96341800689697,10.3852167129517,10.4324378967285,6.88745069503784,5.09999990463257
2,8,1980,16344.900390625,8.65179061889648,7.68047094345093,9.04297161102295,10.4273262023926,10.4547252655029,6.92165803909302,6.69999980926514
2,8,1981,17088.30078125,8.66837692260742,7.72551536560059,9.10573959350586,10.501971244812,10.4700508117676,6.94774484634399,6.09999990463257
2,8,1982,17650.5703125,8.68583869934082,7.77367877960205,9.14365196228027,10.52760887146,10.4223709106445,6.93711996078491,9.89999961853027
2,8,1983,18108.240234375,8.70282077789307,7.82938385009766,9.16691017150879,10.5408535003662,10.4902458190918,6.9826774597168,9.10000038146973
2,8,1984,18792.08984375,8.71628189086914,7.85351943969727,9.2218599319458,10.5539884567261,10.596884727478,7.07487869262695,5
2,8,1985,19414.849609375,8.74552440643311,7.91475296020508,9.24907684326172,10.5776262283325,10.6770620346069,7.1535210609436,6.5
2,8,1986,20212.419921875,8.78773880004883,7.98041725158691,9.28134632110596,10.6962356567383,10.7376565933228,7.19878196716309,6.90000009536743
3,7,1970,7613.259765625,8.20186042785645,6.46923494338989,8.10788249969482,9.89089012145996,9.64160346984863,6.28450727462769,5
3,7,1971,7982.02978515625,8.21255493164062,6.47947692871094,8.20068359375,9.93481540679932,9.69134616851807,6.31173467636108,5.40000009536743
3,7,1972,8309.009765625,8.23749256134033,6.50503635406494,8.25854396820068,9.96389961242676,9.78143310546875,6.36561107635498,4.59999990463257
3,7,1973,8399.58984375,8.26739025115967,6.53923892974854,8.24618721008301,9.98294639587402,9.84294128417969,6.42080879211426,4.09999990463257
3,7,1974,8512.0498046875,8.29054069519043,6.58840370178223,8.24260902404785,10.027289390564,9.86718654632568,6.46256113052368,4.80000019073486
3,7,1975,8651.259765625,8.30688190460205,6.610023021698,8.25767135620117,10.0655755996704,9.85345649719238,6.43582963943481,9.5
3,7,1976,8921.91015625,8.33935737609863,6.63513278961182,8.28781223297119,10.1719331741333,9.9172420501709,6.4922399520874,7.09999990463257
3,7,1977,9234.849609375,8.37020492553711,6.67650413513184,8.32476997375488,10.1930522918701,9.97161293029785,6.54477453231812,6.59999990463257
3,7,1978,9374.5400390625,8.39064979553223,6.71053552627563,8.33034801483154,10.2193365097046,10.0459852218628,6.59673643112183,6.40000009536743
3,7,1979,9554.830078125,8.40809440612793,6.75603675842285,8.34578800201416,10.2539405822754,10.0647983551025,6.61927270889282,6.19999980926514
3,7,1980,9705.240234375,8.41877746582031,6.79168176651001,8.36252117156982,10.2913494110107,10.0523386001587,6.60975360870361,7.59999990463257
3,7,1981,9872.8701171875,8.43570518493652,6.82075834274292,8.37734985351562,10.3493251800537,10.0913772583008,6.6067852973938,9.10000038146973
3,7,1982,9919.349609375,8.45137405395508,6.80895090103149,8.37376880645752,10.3737640380859,10.0631370544434,6.57939004898071,9.80000019073486
3,7,1983,9861.759765625,8.44734573364258,6.83962631225586,8.35818290710449,10.3854694366455,10.1029529571533,6.60840559005737,10
3,7,1984,9754.5498046875,8.44556140899658,6.84011840820312,8.33461093902588,10.3928499221802,10.1853523254395,6.65955018997192,8.89999961853027
3,7,1985,9675.4697265625,8.4423189163208,6.8533411026001,8.31608772277832,10.4111919403076,10.2094640731812,6.68098020553589,8.69999980926514
3,7,1986,9787.2001953125,8.44520473480225,6.86762046813965,8.33659172058105,10.4009027481079,10.2459421157837,6.70171451568604,8.69999980926514
4,9,1970,128545.359375,10.6680555343628,9.78904438018799,11.1235322952271,12.0598430633545,12.4834508895874,8.84595012664795,7.19999980926514
4,9,1971,132263.328125,10.7092571258545,9.82271289825439,11.142541885376,12.1055021286011,12.4897470474243,8.84173774719238,8.80000019073486
4,9,1972,134451.515625,10.7373857498169,9.84234714508057,11.1504077911377,12.1420030593872,12.5466756820679,8.88321018218994,7.59999990463257
