name,region,year,POP,GDP,HEX,LAN,MOR
Afghanistan,South Asia,2001,20531160,2461666315,NA,652860,133.8
Albania,Europe & Central Asia,2001,3060173,4060758804,6.00014389,27400,24.9
Algeria,Middle East & North Africa,2001,31590320,54744714110,3.83786516,2381740,38.9
American Samoa,East Asia & Pacific,2001,58176,NA,NA,200,NA
Andorra,Europe & Central Asia,2001,67770,1484004617,5.78874692,470,4.4
Angola,Sub-Saharan Africa,2001,15562791,8936063723,5.38455772,1246700,214.1
Antigua and Barbuda,Latin America & Caribbean,2001,78972,773765185.2,4.48439049,440,14.8
Argentina,Latin America & Caribbean,2001,37471535,269e9,9.37589012,2736690,19.7
Armenia,Europe & Central Asia,2001,3060036,2118467913,5.94041648,28470,28.7
Aruba,Latin America & Caribbean,2001,92894,1920262570,NA,180,NA
Australia,East Asia & Pacific,2001,19413e3,378e9,8.17867869,7682300,6.1
Austria,Europe & Central Asia,2001,8042293,197e9,10.11903601,82580,5.4
Azerbaijan,Europe & Central Asia,2001,8111200,5707618247,4.48244097,82604,68.8
"Bahamas, The",Latin America & Caribbean,2001,303138,6516651e3,5.14618628,10010,15.5
Bahrain,Middle East & North Africa,2001,694893,8976207713,3.79531921,710,12.1
Bangladesh,South Asia,2001,133776064,53991289844,2.46995061,130170,83.5
Barbados,Latin America & Caribbean,2001,270686,31165e5,5.47182997,430,16.6
Belarus,Europe & Central Asia,2001,9928e3,12354820144,6.62474592,202840,13
Belgium,Europe & Central Asia,2001,10286570,238e9,8.29205205,30280,5.6
Belize,Latin America & Caribbean,2001,254989,871860600,4.50244268,22810,24.2
Benin,Sub-Saharan Africa,2001,7174911,2680213931,4.68672761,112760,141.1
Bermuda,North America,2001,62504,3680483e3,NA,50,NA
Bhutan,South Asia,2001,580784,476360697.2,5.91345001,39800,75
Bolivia,Latin America & Caribbean,2001,8496378,8141537938,6.31154371,1083300,76.2
Bosnia and Herzegovina,Europe & Central Asia,2001,3799747,5748990666,7.16021767,51200,8.6
Botswana,Sub-Saharan Africa,2001,1762531,5489608300,5.72932944,566730,81.6
Brazil,Latin America & Caribbean,2001,178419396,559e9,7.19063692,8358140,29.6
British Virgin Islands,Latin America & Caribbean,2001,21087,NA,NA,150,NA
Brunei Darussalam,East Asia & Pacific,2001,337074,5601090584,3.05915827,5270,9.3
Bulgaria,Europe & Central Asia,2001,8020282,14135393876,7.23446648,110630,20.1
Burkina Faso,Sub-Saharan Africa,2001,11943740,2812845514,4.85203751,273600,182.4
Burundi,Sub-Saharan Africa,2001,6946720,876794723.1,4.96067407,25680,147.8
Cabo Verde,Sub-Saharan Africa,2001,447357,563024383.3,5.18842561,4030,32.2
Cambodia,East Asia & Pacific,2001,12448881,3979813388,5.70229312,176520,98.7
Cameroon,Sub-Saharan Africa,2001,16349364,9633109350,4.70069873,472710,145.7
Canada,North America,2001,31081900,736e9,9.09586921,9093510,6.2
Cayman Islands,Latin America & Caribbean,2001,43317,NA,NA,240,NA
Central African Republic,Sub-Saharan Africa,2001,3794677,931833302.8,3.94971705,622980,173.5
Chad,Sub-Saharan Africa,2001,8663599,1709347793,6.08614845,1259200,187.3
Channel Islands,Europe & Central Asia,2001,149797,6232906290,NA,194,NA
Chile,Latin America & Caribbean,2001,15358418,72336972322,6.50868916,743532,10.3
China,East Asia & Pacific,2001,127185e4,133e10,4.55782328,9388214.2,34.3
Colombia,Latin America & Caribbean,2001,40988909,98203544965,5.96000372,1109500,24.3
Comoros,Sub-Saharan Africa,2001,561525,220093812.2,2.85941954,1861,100.8
"Congo, Dem. Rep.",Sub-Saharan Africa,2001,49449015,7438189100,2.66685774,2267050,156.8
"Congo, Rep.",Sub-Saharan Africa,2001,3183883,2794259756,2.43633674,341500,119.7
Costa Rica,Latin America & Caribbean,2001,3996800,16403602943,7.24688126,51060,12.2
Cote d'Ivoire,Sub-Saharan Africa,2001,16865376,11192560827,4.84648676,318e3,142.8
Croatia,Europe & Central Asia,2001,444e4,23289671102,7.16206455,55910,8
Cuba,Latin America & Caribbean,2001,11151472,316833e5,6.27017609,107400,8
Cyprus,Europe & Central Asia,2001,961482,10328979964,5.78263528,9240,6.1
Czech Republic,Europe & Central Asia,2001,10216605,67375623427,6.42218784,77270,6.2
Denmark,Europe & Central Asia,2001,5358783,165e9,9.10017962,42430,5.5
Djibouti,Middle East & North Africa,2001,734088,572417440.8,5.37254273,23180,98.4
Dominica,Latin America & Caribbean,2001,69660,343119364.3,4.61495217,750,15.2
Dominican Republic,Latin America & Caribbean,2001,8697127,24892595799,5.59412454,48320,40.1
Ecuador,Latin America & Caribbean,2001,12852753,24468324e3,3.85795035,248360,33.1
"Egypt, Arab Rep.",Middle East & North Africa,2001,69599945,97632008710,5.75054527,995450,43.8
El Salvador,Latin America & Caribbean,2001,5844738,138127e5,8.01874114,20720,30.6
Equatorial Guinea,Sub-Saharan Africa,2001,549007,1461139022,1.78308363,28050,147.9
Eritrea,Sub-Saharan Africa,2001,3655006,752368495.5,3.94880121,101e3,84.6
Estonia,Europe & Central Asia,2001,1388115,6245072062,4.85382046,42390,10.2
Ethiopia,Sub-Saharan Africa,2001,68393128,8231326016,4.26258377,1e6,139
Faroe Islands,Europe & Central Asia,2001,47012,1154899793,NA,1396,NA
Fiji,East Asia & Pacific,2001,814215,1660102346,3.28148396,18270,24.2
Finland,Europe & Central Asia,2001,5188008,129e9,7.42501005,304590,4.2
France,Europe & Central Asia,2001,61357431,138e10,9.88690294,547566,5.3
French Polynesia,East Asia & Pacific,2001,241276,NA,NA,3660,NA
Gabon,Sub-Saharan Africa,2001,1260435,5018874179,3.2299484,257670,84
"Gambia, The",Sub-Saharan Africa,2001,1267103,687408804.6,3.70840054,10120,114.5
Georgia,Europe & Central Asia,2001,4386400,3219487825,7.81612364,69490,33.4
Germany,Europe & Central Asia,2001,82349925,195e10,10.15409317,348900,5.2
Ghana,Sub-Saharan Africa,2001,19293804,5314909954,3.55887452,227540,97.3
Gibraltar,Europe & Central Asia,2001,27580,NA,NA,10,NA
Greece,Europe & Central Asia,2001,10862132,136e9,8.47012165,128900,7.3
Greenland,Europe & Central Asia,2001,56350,1086170639,NA,410450,NA
Grenada,Latin America & Caribbean,2001,101849,520444185.2,7.66909007,340,15.6
Guam,East Asia & Pacific,2001,156417,NA,NA,540,NA
Guatemala,Latin America & Caribbean,2001,11976725,18702802399,6.75862604,107160,48.6
Guinea,Sub-Saharan Africa,2001,8955756,2833442750,3.65332963,245720,162.9
Guinea-Bissau,Sub-Saharan Africa,2001,1343646,392278164.4,5.03895833,28120,171.5
Guyana,Latin America & Caribbean,2001,743163,696281471.7,5.82490165,196850,45.6
Haiti,Latin America & Caribbean,2001,8692564,3596443005,5.63127188,27560,101.3
Honduras,Latin America & Caribbean,2001,6371304,7566498403,6.8768446,111890,35.8
"Hong Kong SAR, China",East Asia & Pacific,2001,6714300,169e9,NA,1050,NA
Hungary,Europe & Central Asia,2001,10187576,53656435272,7.11497045,89620,10.5
Iceland,Europe & Central Asia,2001,284968,8126161154,9.12238316,100250,3.8
India,South Asia,2001,1071888190,494e9,4.49651024,2973190,87.7
Indonesia,East Asia & Pacific,2001,214448301,16e10,2.23198234,1811570,49.8
"Iran, Islamic Rep.",Middle East & North Africa,2001,66812736,127e9,5.02339127,1628550,32.7
Iraq,Middle East & North Africa,2001,24258794,NA,NA,437370,43.8
Ireland,Europe & Central Asia,2001,3866243,109e9,6.59839384,68890,6.9
Isle of Man,Europe & Central Asia,2001,77608,1614595291,NA,570,NA
Israel,Middle East & North Africa,2001,6439e3,131e9,7.61027457,21640,6.6
Italy,Europe & Central Asia,2001,56974100,116e10,8.11320938,294110,5.2
Jamaica,Latin America & Caribbean,2001,2605556,9087918837,5.33784359,10830,21.4
Japan,East Asia & Pacific,2001,127149e3,416e10,7.74668514,364500,4.3
Jordan,Middle East & North Africa,2001,4850227,8972965058,9.90197276,88240,26.9
Kazakhstan,Europe & Central Asia,2001,14858335,22152689130,3.47096531,2699700,41.2
Kenya,Sub-Saharan Africa,2001,31863280,12986007426,4.62224717,569140,104.1
Kiribati,East Asia & Pacific,2001,85858,63101272.37,9.00297707,810,68.5
"Korea, Dem. People<92>s Rep.",East Asia & Pacific,2001,23043441,NA,NA,120410,52
"Korea, Rep.",East Asia & Pacific,2001,47357362,533e9,4.75962664,96740,6.4
Kosovo,Europe & Central Asia,2001,1701154,2535333632,NA,10887,NA
Kuwait,Middle East & North Africa,2001,1990022,34890772742,3.60960453,17820,12.5
Kyrgyz Republic,Europe & Central Asia,2001,4945100,1525113501,4.78581,191800,46.4
Lao PDR,East Asia & Pacific,2001,5424701,1768619058,4.31878741,230800,113.4
Latvia,Europe & Central Asia,2001,2337170,8347312514,6.16677115,62196,16
Lebanon,Middle East & North Africa,2001,3359875,17649751244,10.90442335,10230,18.8
Lesotho,Sub-Saharan Africa,2001,1871489,706400239.3,7.52988554,30360,118.6
Liberia,Sub-Saharan Africa,2001,2998770,521e6,6.40765167,96320,169.7
Libya,Middle East & North Africa,2001,5428303,34110064452,4.05766524,1759540,27.3
Liechtenstein,Europe & Central Asia,2001,33663,2491800559,NA,160,NA
Lithuania,Europe & Central Asia,2001,3470818,12252498921,6.26029317,62680,11.3
Luxembourg,Europe & Central Asia,2001,441525,21052080537,7.40182986,2590,4.6
"Macao SAR, China",East Asia & Pacific,2001,438088,6811252879,NA,26,NA
"Macedonia, FYR",Europe & Central Asia,2001,2021585,3709637830,8.18345523,25430,15.2
Madagascar,Sub-Saharan Africa,2001,16235767,4529575348,5.17201954,581540,103.1
Malawi,Sub-Saharan Africa,2001,11491824,1716502070,5.07322144,94280,161.7
Malaysia,East Asia & Pacific,2001,23920963,92783947368,3.39740598,328550,9.4
Maldives,South Asia,2001,292e3,884276168.3,5.83855621,300,39.2
Mali,Sub-Saharan Africa,2001,11376094,3465305993,6.39271264,1220190,211.2
Malta,Middle East & North Africa,2001,393028,3917620728,7.11463824,320,7.5
Marshall Islands,East Asia & Pacific,2001,52184,115152142.7,18.69292677,180,41.3
Mauritania,Sub-Saharan Africa,2001,2796502,1295539448,4.33749659,1030700,113.1
Mauritius,Sub-Saharan Africa,2001,1196287,4536544700,3.86541671,2030,17.1
Mexico,Latin America & Caribbean,2001,104239563,725e9,5.35288319,1943950,24.1
"Micronesia, Fed. Sts.",East Asia & Pacific,2001,107170,240051900,8.5835092,700,52.8
Moldova,Europe & Central Asia,2001,3631462,1480656884,6.99630753,32880,28.3
Monaco,Europe & Central Asia,2001,32364,2671401083,3.33167925,2,5
Mongolia,East Asia & Pacific,2001,2419729,1267997923,5.45485747,1553560,58.4
Montenegro,Europe & Central Asia,2001,607389,1159891557,8.22848975,13450,13.2
Morocco,Middle East & North Africa,2001,29250983,39459581217,4.4385331,446300,47.9
Mozambique,Sub-Saharan Africa,2001,18792357,4766928747,5.64277897,786380,162.5
Myanmar,East Asia & Pacific,2001,48195684,NA,1.80049104,653540,79.9
Namibia,Sub-Saharan Africa,2001,1931005,3546783708,6.17906153,823290,76
Nauru,East Asia & Pacific,2001,10053,NA,14.27627969,20,40.3
Nepal,South Asia,2001,24140941,6007061224,5.36080541,143350,75.9
Netherlands,Europe & Central Asia,2001,16046180,427e9,7.79322671,33760,6.1
New Caledonia,East Asia & Pacific,2001,217324,NA,NA,18280,NA
New Zealand,East Asia & Pacific,2001,3880500,53872425917,7.57891522,263310,7.2
Nicaragua,Latin America & Caribbean,2001,5100750,5323146566,5.25911894,120340,38.3
Niger,Sub-Saharan Africa,2001,11642308,1945327565,7.00950375,1266700,217.6
Nigeria,Sub-Saharan Africa,2001,126014935,44138014092,3.24623068,910770,181.3
Northern Mariana Islands,East Asia & Pacific,2001,68817,NA,NA,460,NA
Norway,Europe & Central Asia,2001,4513751,174e9,8.64555138,365245,4.7
Oman,Middle East & North Africa,2001,2272547,19452015605,3.08303075,309500,15.5
Pakistan,South Asia,2001,141282077,72309738921,2.60799747,770880,109.8
Palau,East Asia & Pacific,2001,19404,16e7,8.62278913,460,25.9
Panama,Latin America & Caribbean,2001,3086887,12501974600,7.72136354,74340,25.4
Papua New Guinea,East Asia & Pacific,2001,5512835,3081029666,6.67581279,452860,77.7
Paraguay,Latin America & Caribbean,2001,5406625,7662595076,7.61414476,397300,32.5
Peru,Latin America & Caribbean,2001,26261363,51592365725,4.98481333,128e4,35.8
Philippines,East Asia & Pacific,2001,79604541,76262072022,2.9983988,298170,38.9
Poland,Europe & Central Asia,2001,38248076,191e9,5.85595692,306290,8.8
Portugal,Europe & Central Asia,2001,10362722,122e9,9.1032037,91500,6.7
Puerto Rico,Latin America & Caribbean,2001,3818774,69668635e3,NA,8870,NA
Qatar,Middle East & North Africa,2001,613720,17538461538,2.55647744,11610,11.9
Romania,Europe & Central Asia,2001,22131970,40716836998,4.35687135,229710,25.9
Russian Federation,Europe & Central Asia,2001,145976083,307e9,5.67444877,16380440,22
Rwanda,Sub-Saharan Africa,2001,8329113,1674685126,4.38001652,24670,170.2
Samoa,East Asia & Pacific,2001,175567,273088357.2,5.15897595,2830,21
San Marino,Europe & Central Asia,2001,27771,815205233.1,4.70998606,60,5.2
Sao Tome and Principe,Sub-Saharan Africa,2001,140003,72230284.44,10.27774064,960,85.4
Saudi Arabia,Middle East & North Africa,2001,22007937,183e9,4.48913476,2149690,22
Senegal,Sub-Saharan Africa,2001,10118078,4877602060,4.97866497,192530,128.4
Serbia,Europe & Central Asia,2001,7503433,12267175481,6.88541032,87460,12.2
Seychelles,Sub-Saharan Africa,2001,81202,622262057.2,4.45396104,460,14.3
Sierra Leone,Sub-Saharan Africa,2001,4220198,1079478388,11.8345473,72180,229.9
Singapore,East Asia & Pacific,2001,4138012,89286208629,2.3688879,670,3.7
Sint Maarten (Dutch part),Latin America & Caribbean,2001,31189,NA,NA,34,NA
Slovak Republic,Europe & Central Asia,2001,5378867,30703017450,5.50461613,48100,11.3
Slovenia,Europe & Central Asia,2001,1992060,20875389931,8.56912386,20140,5.2
Solomon Islands,East Asia & Pacific,2001,423535,400464594,6.4432523,27990,32.9
Somalia,Sub-Saharan Africa,2001,7610053,NA,NA,627340,174.4
South Africa,Sub-Saharan Africa,2001,44909738,122e9,8.31481812,1213090,77.1
South Sudan,Sub-Saharan Africa,2001,6967817,NA,NA,NA,173
Spain,Europe & Central Asia,2001,40756001,626e9,7.24157367,498520,6.3
Sri Lanka,South Asia,2001,18797e3,15746229582,3.80731091,62710,15.8
St. Kitts and Nevis,Latin America & Caribbean,2001,46216,460467986.5,4.97210133,260,17.8
St. Lucia,Latin America & Caribbean,2001,158650,742383570.8,6.09831345,610,17.6
St. Martin (French part),Latin America & Caribbean,2001,27782,NA,NA,54.4,NA
St. Vincent and the Grenadines,Latin America & Caribbean,2001,107989,430040370.4,3.64487016,390,22.1
Sudan,Sub-Saharan Africa,2001,28805142,13182979784,2.96223361,2376e3,103.1
Suriname,Latin America & Caribbean,2001,484210,763465550.5,8.37819571,156e3,33.3
Swaziland,Sub-Saharan Africa,2001,1074765,1349339652,5.11405331,17200,131.6
Sweden,Europe & Central Asia,2001,8895960,24e10,8.85949228,410340,4.1
Switzerland,Europe & Central Asia,2001,7229854,279e9,10.28167391,39523,5.6
Syrian Arab Republic,Middle East & North Africa,2001,16694414,21099833784,4.91523547,183780,22.3
Tajikistan,Europe & Central Asia,2001,6290413,1080774006,4.58575814,139960,86.6
Tanzania,Sub-Saharan Africa,2001,34899062,10383560603,3.27675923,885800,122.6
Thailand,East Asia & Pacific,2001,63415174,12e10,3.73841269,510890,21.5
Timor-Leste,East Asia & Pacific,2001,865848,452e6,3.74927975,14870,104.6
Togo,Sub-Saharan Africa,2001,5006223,1332328999,4.28754557,54390,117.6
Tonga,East Asia & Pacific,2001,98434,167042898.9,5.65871081,720,17.3
Trinidad and Tobago,Latin America & Caribbean,2001,1272383,8824873259,4.39833331,5130,28.6
Tunisia,Middle East & North Africa,2001,9650600,22066101341,5.29072381,155360,29.6
Turkey,Europe & Central Asia,2001,64182694,196e9,5.16018215,769630,36.9
Turkmenistan,Europe & Central Asia,2001,4551762,3534771969,3.87186243,469930,79.2
Turks and Caicos Islands,Latin America & Caribbean,2001,20186,NA,NA,950,NA
Tuvalu,East Asia & Pacific,2001,9471,13196254.87,17.43301317,30,41.1
Uganda,Sub-Saharan Africa,2001,24534668,5840503869,7.26084954,199810,141
Ukraine,Europe & Central Asia,2001,48683865,38009344577,5.65578135,579350,17.6
United Arab Emirates,Middle East & North Africa,2001,3217865,103e9,2.48427471,83600,10.9
United Kingdom,Europe & Central Asia,2001,59119673,154e10,7.31085769,241930,6.4
United States,North America,2001,284968955,106e11,13.72876259,9161920,8.3
Uruguay,Latin America & Caribbean,2001,3327105,20898788417,7.45887275,175020,16.2
Uzbekistan,Europe & Central Asia,2001,24964450,11401351420,5.27690086,425400,61.4
Vanuatu,East Asia & Pacific,2001,189288,257926881.7,3.36538173,12190,28.2
"Venezuela, RB",Latin America & Caribbean,2001,24940223,123e9,5.20843586,882050,21
Vietnam,East Asia & Pacific,2001,78620500,35291349277,5.17364313,311090,32.5
Virgin Islands (U.S.),Latin America & Caribbean,2001,108386,NA,NA,350,NA
West Bank and Gaza,Middle East & North Africa,2001,2997784,40037e5,NA,6020,28.9
"Yemen, Rep.",Middle East & North Africa,2001,18306287,9854042165,4.33521896,527970,90.7
Zambia,Sub-Saharan Africa,2001,10861238,4094480988,6.56316538,743390,154.2
Zimbabwe,Sub-Saharan Africa,2001,12603988,6777384700,6.15713524,386850,105.6
Afghanistan,South Asia,2002,21487079,4128818042,7.76307316,652860,130.3
Albania,Europe & Central Asia,2002,3051010,4435078648,6.30011348,27400,23.6
Algeria,Middle East & North Africa,2002,31990387,56760288396,3.73006375,2381740,37.8
American Samoa,East Asia & Pacific,2002,58729,NA,NA,200,NA
Andorra,Europe & Central Asia,2002,71046,1717563533,5.97260274,470,4.2
Angola,Sub-Saharan Africa,2002,16109696,12497346670,3.63392075,1246700,211.7
Antigua and Barbuda,Latin America & Caribbean,2002,80030,802529333.3,4.41378705,440,14.1
Argentina,Latin America & Caribbean,2002,37889443,97724513456,8.31392968,2736690,19.2
Armenia,Europe & Central Asia,2002,3047249,2376335048,5.40041921,28470,27.3
Aruba,Latin America & Caribbean,2002,94995,1941094972,NA,180,NA
Australia,East Asia & Pacific,2002,19651400,394e9,8.39043833,7682300,6
Austria,Europe & Central Asia,2002,8081957,213e9,10.27003327,82580,5.3
Azerbaijan,Europe & Central Asia,2002,8171950,6236024951,4.46710558,82618,63.8
"Bahamas, The",Latin America & Caribbean,2002,309170,6957996e3,5.25568411,10010,15.5
Bahrain,Middle East & North Africa,2002,725365,9632155053,3.89413936,710,11.8
Bangladesh,South Asia,2002,136228456,54724081491,2.59288743,130170,79
Barbados,Latin America & Caribbean,2002,271479,31695e5,5.76189211,430,16.8
Belarus,Europe & Central Asia,2002,9865e3,14594925393,6.47012421,202830,11.9
Belgium,Europe & Central Asia,2002,10332785,259e9,8.46176755,30280,5.4
Belize,Latin America & Caribbean,2002,262202,932551850,4.37927042,22810,23.5
Benin,Sub-Saharan Africa,2002,7414744,3054571082,4.27443185,112760,137.1
Bermuda,North America,2002,62912,3937228e3,NA,50,NA
Bhutan,South Asia,2002,598421,537050133.7,7.75160507,39800,70.6
Bolivia,Latin America & Caribbean,2002,8653343,7905485216,6.52937179,1083300,72.2
Bosnia and Herzegovina,Europe & Central Asia,2002,3808347,6651226179,7.01047901,51200,8.3
Botswana,Sub-Saharan Africa,2002,1786672,5438857107,6.47357061,566730,79.8
Brazil,Latin America & Caribbean,2002,181045592,508e9,7.13005982,8358140,27.4
British Virgin Islands,Latin America & Caribbean,2002,21530,NA,NA,150,NA
Brunei Darussalam,East Asia & Pacific,2002,343383,5843329108,3.03624423,5270,9.2
Bulgaria,Europe & Central Asia,2002,7868468,16360346654,7.40609292,108800,19.2
Burkina Faso,Sub-Saharan Africa,2002,12290984,3205592290,5.26139343,273600,178.3
Burundi,Sub-Saharan Africa,2002,7159918,825394490.2,5.15367588,25680,143.2
Cabo Verde,Sub-Saharan Africa,2002,455396,620974660.2,5.17292778,4030,29.9
Cambodia,East Asia & Pacific,2002,12681984,4284028138,5.94573973,176520,88.3
Cameroon,Sub-Saharan Africa,2002,16779434,10879778384,4.86311777,472710,140.2
Canada,North America,2002,31362e3,758e9,9.36996095,9093510,6.2
Cayman Islands,Latin America & Caribbean,2002,44742,NA,NA,240,NA
Central African Republic,Sub-Saharan Africa,2002,3859784,991387870.1,4.16499024,622980,171.9
Chad,Sub-Saharan Africa,2002,9002102,1987622279,8.33249881,1259200,184.6
Channel Islands,Europe & Central Asia,2002,150905,6663669065,NA,194,NA
Chile,Latin America & Caribbean,2002,15544554,70984568429,6.47573804,743532,9.8
China,East Asia & Pacific,2002,12804e5,146e10,4.78507297,9388213.2,31.6
Colombia,Latin America & Caribbean,2002,41572493,97933392356,5.66898945,1109500,23.6
Comoros,Sub-Saharan Africa,2002,575428,246737679.5,3.38792052,1861,100.8
"Congo, Dem. Rep.",Sub-Saharan Africa,2002,50971407,8728038525,2.5871639,2267050,152.4
"Congo, Rep.",Sub-Saharan Africa,2002,3256867,3019993723,2.45276459,341500,115.6
Costa Rica,Latin America & Caribbean,2002,4063208,16844378578,8.22565685,51060,11.6
Cote d'Ivoire,Sub-Saharan Africa,2002,17185421,12346919216,4.46676932,318e3,139.7
Croatia,Europe & Central Asia,2002,444e4,26878499206,6.19018539,55910,7.7
Cuba,Latin America & Caribbean,2002,11184540,335904e5,6.49530818,106390,7.7
Cyprus,Europe & Central Asia,2002,979883,11345759615,6.1236131,9240,5.8
Czech Republic,Europe & Central Asia,2002,10196916,81696651659,6.79738309,77270,6
Denmark,Europe & Central Asia,2002,5375931,179e9,9.33288751,42430,5.4
Djibouti,Middle East & North Africa,2002,745459,591122039.6,5.44853384,23180,96
Dominica,Latin America & Caribbean,2002,69806,337695734.8,4.71101985,750,15.1
